schema_version,requested_action,catalog_key,sense_key,record_revision,catalog_status,term,lemma,part_of_speech,level,category,definition_zh,accepted_answers_zh,prompt_en,prompt_zh,phonetic_ipa,example_en,example_zh,accepted_forms_en,synonyms_en,antonyms_en,enable_en_to_zh,distractor_zh_1,distractor_zh_2,distractor_zh_3,distractor_zh_4,distractor_zh_5,distractor_zh_6,enable_zh_to_en,distractor_en_1,distractor_en_2,distractor_en_3,distractor_en_4,distractor_en_5,distractor_en_6,source_reference,contributor_ref,change_note,retirement_reason
word-catalog-v1,CREATE_DRAFT,,,,,air conditioner,air conditioner,noun,A2,home-household,冷氣機,,,,,,,,,,TRUE,吸塵器,洗碗機,洗衣機,揚聲器,煤氣,柵欄,TRUE,washing machine,emergency exit,remote control,vacuum cleaner,smoke detector,alarm clock,,,,
word-catalog-v1,CREATE_DRAFT,,,,,heater,heater,noun,A2,home-household,暖爐,,,,,,,,,,TRUE,設備,鏡子,窗簾,牙膏,傢俱,樓梯,TRUE,device,tissue,toilet,system,switch,curtain,,,,
word-catalog-v1,CREATE_DRAFT,,,,,radio,radio,noun,A2,home-household,收音機,,,,,,,,,,TRUE,咖啡機,揚聲器,吸塵器,洗手盆,遙控器,冷氣機,TRUE,razor,level,fence,switch,towel,stair,,,,
word-catalog-v1,CREATE_DRAFT,,,,,telephone,telephone,noun,A2,home-household,電話,,,,,,,,,,TRUE,線路,鬧鐘,地毯,書架,柵欄,鄰里,TRUE,furniture,equipment,bookshelf,hair dryer,entrance,scissors,,,,
word-catalog-v1,CREATE_DRAFT,,,,,line,line,noun,A2,home-household,線路,,,,,The phone line is not working.,電話線路壞了。,,,,TRUE,毛巾,餐巾,柵欄,鏡子,燈泡,風筒,TRUE,iron,gate,lock,sink,hall,cable,,,,
word-catalog-v1,CREATE_DRAFT,,,,,hair dryer,hair dryer,noun,A2,home-household,風筒,,,,,,,,,,TRUE,毛巾,信箱,電話,窗簾,烤箱,電纜,TRUE,toothpaste,flashlight,alarm clock,dishwasher,electricity,equipment,,,,
word-catalog-v1,CREATE_DRAFT,,,,,fan,fan,noun,A2,home-household,風扇,,,,,Please turn on the fan.,請開風扇。,,,,TRUE,紙巾,設備,熨斗,牙膏,鄰里,樓梯,TRUE,key,gas,oven,iron,line,lock,,,,
word-catalog-v1,CREATE_DRAFT,,,,,vacuum cleaner,vacuum cleaner,noun,A2,home-household,吸塵器,,,,,,,,,,TRUE,洗衣機,咖啡機,洗碗機,洗手盆,冷氣機,遙控器,TRUE,smoke detector,emergency exit,remote control,air conditioner,washing machine,neighborhood,,,,
word-catalog-v1,CREATE_DRAFT,,,,,iron,iron,noun,A2,home-household,熨斗,,,,,The iron is still hot.,熨斗仍然很熱。,,,,TRUE,系統,浴缸,開關,窗簾,鑰匙,電話,TRUE,hall,work,oven,heat,line,fence,,,,
word-catalog-v1,CREATE_DRAFT,,,,,remote control,remote control,noun,A2,home-household,遙控器,,,,,,,,,,TRUE,洗碗機,冷氣機,洗衣機,洗手盆,柵欄,揚聲器,TRUE,vacuum cleaner,air conditioner,emergency exit,smoke detector,washing machine,coffee maker,,,,
word-catalog-v1,CREATE_DRAFT,,,,,smoke detector,smoke detector,noun,A2,home-household,煙霧探測器,,,,,,,,,,TRUE,小型焗爐,電源插座,緊急出口,洗手盆,咖啡機,洗碗機,TRUE,remote control,emergency exit,vacuum cleaner,washing machine,air conditioner,loudspeaker,,,,
word-catalog-v1,CREATE_DRAFT,,,,,turn on,turn on,phrasal_verb,A2,home-household,打開,,,,,Please turn on the light.,請開燈。,,,,TRUE,關閉,搬入,搬出,運作,居住,使用,TRUE,move in,move out,turn off,light,repair,live,,,,
word-catalog-v1,CREATE_DRAFT,,,,,turn off,turn off,phrasal_verb,A2,home-household,關閉,,,,,Turn off the computer before you leave.,離開前請關掉電腦。,,,,TRUE,搬出,搬入,打開,修理,居住,運作,TRUE,move out,turn on,move in,repair,live,light,,,,
word-catalog-v1,CREATE_DRAFT,,,,,work,work,verb,A2,home-household,運作,,,,,The machine does not work properly.,這部機器運作不正常。,,,,TRUE,居住,關閉,使用,修理,租,搬入,TRUE,live,lock,use,rent,light,repair,,,,
word-catalog-v1,CREATE_DRAFT,,,,,broken,broken,adjective,A2,home-household,壞的,,,,,,,,,,TRUE,舒適的,晴朗,更好,免費,負的,遠的,TRUE,light,cozy,absent,golden,social,active,,,,
word-catalog-v1,CREATE_DRAFT,,,,,use,use,verb,A2,home-household,使用,,,,,,,,,,TRUE,關閉,運作,修理,租,居住,搬出,TRUE,lock,rent,live,work,light,repair,,,,
word-catalog-v1,CREATE_DRAFT,,,,,system,system,noun,A2,home-household,系統,,,,,,,,,,TRUE,地毯,樓梯,電話,墊子,窗簾,走廊,TRUE,camera,heater,socket,device,carpet,mailbox,,,,
word-catalog-v1,CREATE_DRAFT,,,,,repair,repair,verb,A2,home-household,修理,,,,,,,,,,TRUE,使用,居住,關閉,運作,租,打開,TRUE,light,work,live,lock,rent,use,,,,
word-catalog-v1,CREATE_DRAFT,,,,,flashlight,flashlight,noun,A2,home-household,電筒,,,,,,,,,,TRUE,燈光,系統,暖氣,牙膏,煤氣,電話,TRUE,dishwasher,light bulb,hair dryer,toothpaste,bookshelf,equipment,,,,
word-catalog-v1,CREATE_DRAFT,,,,,carpet,carpet,noun,A2,home-household,地毯,,,,,,,,,,TRUE,煤氣,坐廁,餐巾,電話,紙巾,風扇,TRUE,mirror,socket,switch,heater,tissue,device,,,,
word-catalog-v1,CREATE_DRAFT,,,,,furniture,furniture,noun,A2,home-household,傢俱,,,,,,,,,,TRUE,暖氣,開關,系統,柵欄,電話,入口,TRUE,equipment,telephone,bookshelf,toothpaste,hair dryer,flashlight,,,,
word-catalog-v1,CREATE_DRAFT,,,,,fashion,fashion,noun,A2,clothing-appearance,時尚,,,,,,,,,,TRUE,腰帶,眼鏡,鏈子,服裝,笑容,雨傘,TRUE,glasses,uniform,earring,perfume,wallet,shorts,,,,
word-catalog-v1,CREATE_DRAFT,,,,,clothing,clothing,noun,A2,clothing-appearance,服裝,,,,,,,,,,TRUE,時尚,腰帶,耳環,口袋,短褲,紐扣,TRUE,umbrella,accessory,necklace,jewellery,fashion,briefcase,,,,
word-catalog-v1,CREATE_DRAFT,,,,,blouse,blouse,noun,A2,clothing-appearance,女裝恤衫,,,,,,,,,,TRUE,太陽眼鏡,外貌,手鐲,錢包,鏈子,帽子,TRUE,pocket,wallet,button,watch,uniform,shorts,,,,
word-catalog-v1,CREATE_DRAFT,,,,,shorts,shorts,noun,A2,clothing-appearance,短褲,,,,,,,,,,TRUE,帽子,外貌,鏈子,鬍鬚,配件,腰帶,TRUE,glasses,blouse,button,earring,beard,smile,,,,
word-catalog-v1,CREATE_DRAFT,,,,,pocket,pocket,noun,A2,clothing-appearance,口袋,,,,,,,,,,TRUE,短褲,香水,外貌,鬍鬚,眼鏡,腰帶,TRUE,button,blouse,wallet,perfume,smile,beard,,,,
word-catalog-v1,CREATE_DRAFT,,,,,button,button,noun,A2,clothing-appearance,紐扣,,,,,,,,,,TRUE,服裝,鏈子,健康,口袋,帽子,腰帶,TRUE,pocket,wallet,shorts,uniform,smile,watch,,,,
word-catalog-v1,CREATE_DRAFT,,,,,uniform,uniform,noun,A2,clothing-appearance,制服,,,,,,,,,,TRUE,珠寶,耳環,服裝,手鐲,眼鏡,時尚,TRUE,glasses,fashion,pocket,necklace,perfume,earring,,,,
word-catalog-v1,CREATE_DRAFT,,,,,umbrella,umbrella,noun,A2,clothing-appearance,雨傘,,,,,,,,,,TRUE,腰帶,鏈子,紐扣,耳環,制服,服裝,TRUE,bracelet,clothing,uniform,glasses,fashion,necklace,,,,
word-catalog-v1,CREATE_DRAFT,,,,,accessory,accessory,noun,A2,clothing-appearance,配件,,,,,,,,,,TRUE,鏈子,眼鏡,珠寶,時尚,戒指,項鍊,TRUE,briefcase,moustache,jewellery,appearance,sunglasses,clothing,,,,
word-catalog-v1,CREATE_DRAFT,,,,,watch,watch,noun,A2,clothing-appearance,手錶,,,,,,,,,,TRUE,項鍊,口袋,雨傘,眼鏡,香水,鬍子,TRUE,beard,chain,button,smile,wallet,shorts,,,,
word-catalog-v1,CREATE_DRAFT,,,,,glasses,glasses,noun,A2,clothing-appearance,眼鏡,,,,,,,,,,TRUE,鬍鬚,鬍子,腰帶,手鐲,時尚,耳環,TRUE,earring,fashion,wallet,perfume,shorts,button,,,,
word-catalog-v1,CREATE_DRAFT,,,,,sunglasses,sunglasses,noun,A2,clothing-appearance,太陽眼鏡,,,,,,,,,,TRUE,女裝恤衫,笑容,帽子,公文包,錢包,耳環,TRUE,appearance,jewellery,briefcase,bracelet,moustache,accessory,,,,
word-catalog-v1,CREATE_DRAFT,,,,,briefcase,briefcase,noun,A2,clothing-appearance,公文包,,,,,,,,,,TRUE,時尚,配件,外貌,手錶,制服,眼鏡,TRUE,moustache,accessory,sunglasses,clothing,jewellery,perfume,,,,
word-catalog-v1,CREATE_DRAFT,,,,,cap,cap,noun,A2,clothing-appearance,帽子,,,,,,,,,,TRUE,外貌,眼鏡,鏈子,項鍊,戒指,雨傘,TRUE,ring,beard,belt,smile,pocket,watch,,,,
word-catalog-v1,CREATE_DRAFT,,,,,bracelet,bracelet,noun,A2,clothing-appearance,手鐲,,,,,,,,,,TRUE,戒指,配件,時尚,帽子,鏈子,香水,TRUE,clothing,necklace,moustache,glasses,umbrella,briefcase,,,,
word-catalog-v1,CREATE_DRAFT,,,,,wallet,wallet,noun,A2,clothing-appearance,錢包,,,,,,,,,,TRUE,鏈子,配件,眼鏡,口袋,健康,手鐲,TRUE,blouse,smile,button,perfume,pocket,glasses,,,,
word-catalog-v1,CREATE_DRAFT,,,,,chain,chain,noun,A2,clothing-appearance,鏈子,,,,,,,,,,TRUE,短褲,戒指,耳環,手鐲,口袋,配件,TRUE,pocket,wallet,shorts,watch,beard,button,,,,
word-catalog-v1,CREATE_DRAFT,,,,,earring,earring,noun,A2,clothing-appearance,耳環,,,,,,,,,,TRUE,眼鏡,雨傘,手鐲,短褲,紐扣,錢包,TRUE,glasses,uniform,necklace,perfume,wallet,fashion,,,,
word-catalog-v1,CREATE_DRAFT,,,,,ring,ring,noun,A2,clothing-appearance,戒指,,,,,,,,,,TRUE,外貌,耳環,手錶,鬍鬚,健康,珠寶,TRUE,belt,beard,chain,button,wallet,smile,,,,
word-catalog-v1,CREATE_DRAFT,,,,,necklace,necklace,noun,A2,clothing-appearance,項鍊,,,,,,,,,,TRUE,時尚,雨傘,腰帶,珠寶,紐扣,錢包,TRUE,umbrella,bracelet,earring,perfume,moustache,clothing,,,,
word-catalog-v1,CREATE_DRAFT,,,,,jewellery,jewellery,noun,A2,clothing-appearance,珠寶,,,,,,,jewelry,,,TRUE,香水,配件,鬍鬚,鬍子,眼鏡,口袋,TRUE,appearance,accessory,necklace,moustache,bracelet,briefcase,,,,
word-catalog-v1,CREATE_DRAFT,,,,,perfume,perfume,noun,A2,clothing-appearance,香水,,,,,,,,,,TRUE,短褲,口袋,眼鏡,健康,紐扣,服裝,TRUE,fashion,uniform,earring,blouse,pocket,shorts,,,,
word-catalog-v1,CREATE_DRAFT,,,,,loose,loose,adjective,A2,clothing-appearance,寬鬆的,,,,,,,,,tight,TRUE,微小的,男性的,女性的,相似的,禿頭的,英俊,TRUE,tight,curly,blond,slim,similar,male,,,,
word-catalog-v1,CREATE_DRAFT,,,,,tight,tight,adjective,A2,clothing-appearance,緊的,,,,,,,,,loose,TRUE,漂亮,苗條,女性的,瘦的,可愛的,相似的,TRUE,loose,blond,curly,skinny,wavy,tiny,,,,
word-catalog-v1,CREATE_DRAFT,,,,,fit,fit,verb,A2,clothing-appearance,適合,,,,,These shoes fit me well.,這雙鞋很適合我。,,,,TRUE,描述,隱藏,換,展示,刷,顯得,TRUE,hide,show,smile,look,brush,appear,,,,
word-catalog-v1,CREATE_DRAFT,,,,,try on,try on,phrasal_verb,A2,clothing-appearance,試穿,,,,,May I try on this jacket?,我可以試穿這件外套嗎？,,,,TRUE,脫下,穿上,展示,隱藏,適合,描述,TRUE,put on,take off,change,appear,smile,brush,,,,
word-catalog-v1,CREATE_DRAFT,,,,,put on,put on,phrasal_verb,A2,clothing-appearance,穿上,,,,,Put on your coat before going outside.,外出前穿上外套。,,,,TRUE,試穿,脫下,隱藏,展示,適合,描述,TRUE,try on,take off,appear,change,brush,describe,,,,
word-catalog-v1,CREATE_DRAFT,,,,,take off,take off,phrasal_verb,A2,clothing-appearance,脫下,,,,,Please take off your wet coat.,請脫下濕外套。,,,,TRUE,試穿,穿上,適合,展示,描述,隱藏,TRUE,try on,put on,describe,appear,smile,change,,,,
word-catalog-v1,CREATE_DRAFT,,,,,change,change,verb,A2,clothing-appearance,換,,,,,,,,,,TRUE,刷,顯得,隱藏,適合,看起來,展示,TRUE,appear,look,brush,show,smile,fit,,,,
word-catalog-v1,CREATE_DRAFT,,,,,worn-out,worn-out,adjective,A2,clothing-appearance,破舊的,,,,,,,,,,TRUE,女性的,男性的,微小的,波浪的,瘦的,金髮的,TRUE,handsome,skinny,similar,female,pretty,attractive,,,,
word-catalog-v1,CREATE_DRAFT,,,,,belt,belt,noun,A2,clothing-appearance,腰帶,,,,,,,,,,TRUE,外貌,項鍊,雨傘,帽子,短褲,紐扣,TRUE,cap,ring,beard,chain,pocket,watch,,,,
word-catalog-v1,CREATE_DRAFT,,,,,darkness,darkness,noun,A2,descriptions-qualities,黑暗,,,,,,,,,,TRUE,亮度,形狀,中心,星星,輕盈,表面,TRUE,diamond,surface,lightness,square,brightness,shape,,,,
word-catalog-v1,CREATE_DRAFT,,,,,brightness,brightness,noun,A2,descriptions-qualities,亮度,,,,,,,,,,TRUE,菱形,十字,油漆,黑暗,輕盈,忌廉色,TRUE,lightness,darkness,surface,diamond,centre,square,,,,
word-catalog-v1,CREATE_DRAFT,,,,,lightness,lightness,noun,A2,descriptions-qualities,輕盈,,,,,,,,,,TRUE,菱形,黑暗,亮度,形狀,十字,健康,TRUE,diamond,brightness,darkness,surface,silver,centre,,,,
word-catalog-v1,CREATE_DRAFT,,,,,golden,golden,adjective,A2,descriptions-qualities,金色的,,,,,,,,,,TRUE,著名的,最大的,粗心的,通常的,舒適的,彩色的,TRUE,famous,bright,formal,direct,unknown,empty,,,,
word-catalog-v1,CREATE_DRAFT,,,,,gold,gold,adjective,A2,descriptions-qualities,金色的,,,,,,,,,,TRUE,多彩的,勤奮的,間接的,安全的,放鬆的,普通的,TRUE,hard,free,full,near,lazy,flat,,,,
word-catalog-v1,CREATE_DRAFT,,,,,silver,silver,adjective,A2,descriptions-qualities,銀色的,,,,,,,,,,TRUE,通常的,放鬆的,聰明的,彩色的,小心的,舒適的,TRUE,formal,unsafe,direct,common,unwell,polite,,,,
word-catalog-v1,CREATE_DRAFT,,,,,pale,pale,adjective,A2,descriptions-qualities,淡,,,,,,,,,,TRUE,滿的,死的,遠的,健康,淺的,鮮豔的,TRUE,full,hard,gold,whole,lazy,flat,,,,
word-catalog-v1,CREATE_DRAFT,,,,,bright,bright,adjective,A2,descriptions-qualities,鮮豔的,,,,,,,,,dark,TRUE,空閒的,健康的,放鬆的,懶惰的,重要的,金色的,TRUE,direct,golden,unwell,common,unlucky,silver,,,,
word-catalog-v1,CREATE_DRAFT,,,,,colourful,colourful,adjective,A2,descriptions-qualities,多彩的,,,,,,,colorful,,,TRUE,可能的,最小的,鮮豔的,空閒的,最大的,未知的,TRUE,necessary,unpopular,important,impossible,stressful,uncommon,,,,
word-catalog-v1,CREATE_DRAFT,,,,,coloured,coloured,adjective,A2,descriptions-qualities,彩色的,,,,,,,colored,,,TRUE,未知的,健康的,必要的,舒適的,通常的,完整的,TRUE,informal,impolite,pleasant,uncommon,ordinary,friendly,,,,
word-catalog-v1,CREATE_DRAFT,,,,,cream,cream,noun,A2,descriptions-qualities,忌廉色,,,,,,,,,,TRUE,正方形,表面,黑暗,十字,健康,形狀,TRUE,paint,shape,square,circle,cross,dot,,,,
word-catalog-v1,CREATE_DRAFT,,,,,shape,shape,noun,A2,descriptions-qualities,形狀,,,,,,,,,,TRUE,亮度,星星,菱形,中心,健康,黑暗,TRUE,cream,cross,centre,paint,star,circle,,,,
word-catalog-v1,CREATE_DRAFT,,,,,centre,centre,noun,A2,descriptions-qualities,中心,,,,,,,center,,,TRUE,黑暗,形狀,亮度,點,忌廉色,油漆,TRUE,circle,square,cross,paint,silver,shape,,,,
word-catalog-v1,CREATE_DRAFT,,,,,circle,circle,noun,A2,descriptions-qualities,圓,,,,,,,,,,TRUE,側,點,線,十字,中心,表面,TRUE,centre,square,cream,paint,shape,diamond,,,,
word-catalog-v1,CREATE_DRAFT,,,,,cross,cross,noun,A2,descriptions-qualities,十字,,,,,Draw a cross beside the correct answer.,在正確答案旁畫一個十字。,,,,TRUE,表面,中心,亮度,星星,形狀,油漆,TRUE,shape,cream,line,star,circle,paint,,,,
word-catalog-v1,CREATE_DRAFT,,,,,square,square,noun,A2,descriptions-qualities,正方形,,,,,,,,,,TRUE,忌廉色,輕盈,星星,亮度,健康,中心,TRUE,circle,centre,silver,cross,cream,surface,,,,
word-catalog-v1,CREATE_DRAFT,,,,,diamond,diamond,noun,A2,descriptions-qualities,菱形,,,,,,,,,,TRUE,形狀,亮度,星星,表面,油漆,健康,TRUE,surface,centre,circle,square,lightness,darkness,,,,
word-catalog-v1,CREATE_DRAFT,,,,,star,star,noun,A2,descriptions-qualities,星星,,,,,We saw a bright star in the sky.,我們在天空看見一顆明亮的星星。,,,,TRUE,健康,十字,輕盈,亮度,形狀,中心,TRUE,side,line,gold,paint,cream,dot,,,,
word-catalog-v1,CREATE_DRAFT,,,,,line,line,noun,A2,descriptions-qualities,線,,,,,,,,,,TRUE,圓,十字,黑暗,中心,星星,健康,TRUE,gold,paint,cream,side,dot,star,,,,
word-catalog-v1,CREATE_DRAFT,,,,,dot,dot,noun,A2,descriptions-qualities,點,,,,,,,,,,TRUE,線,圓,形狀,星星,側,黑暗,TRUE,side,line,star,cross,gold,shape,,,,
word-catalog-v1,CREATE_DRAFT,,,,,side,side,noun,A2,descriptions-qualities,側,,,,,,,,,,TRUE,點,圓,菱形,中心,線,油漆,TRUE,star,paint,dot,line,gold,square,,,,
word-catalog-v1,CREATE_DRAFT,,,,,surface,surface,noun,A2,descriptions-qualities,表面,,,,,,,,,,TRUE,十字,健康,中心,亮度,黑暗,星星,TRUE,diamond,centre,circle,darkness,silver,square,,,,
word-catalog-v1,CREATE_DRAFT,,,,,straight,straight,adjective,A2,descriptions-qualities,直的,,,,,,,,,,TRUE,滿的,健康,簡單,近的,整個,死的,TRUE,friendly,uncommon,indirect,relaxing,pleasant,minimum,,,,
word-catalog-v1,CREATE_DRAFT,,,,,flat,flat,adjective,A2,descriptions-qualities,平的,,,,,,,,,,TRUE,特別,直的,空的,簡單,深的,整個,TRUE,pale,near,hard,free,whole,alive,,,,
word-catalog-v1,CREATE_DRAFT,,,,,round,round,adjective,A2,descriptions-qualities,圓的,,,,,,,,,,TRUE,近的,健康,簡單,淺的,深的,特別,TRUE,usual,lucky,whole,empty,well,pale,,,,
word-catalog-v1,CREATE_DRAFT,,,,,draw,draw,verb,A2,descriptions-qualities,畫,,,,,,,,,,TRUE,上色,借,撞,刷,炸,綁,TRUE,cross,star,colour,complete,tell,park,,,,
word-catalog-v1,CREATE_DRAFT,,,,,colour,colour,verb,A2,descriptions-qualities,上色,,,,,,,color,,,TRUE,畫,識別,約會,點擊,取消,攜帶,TRUE,cross,complete,star,draw,arrive,cancel,,,,
word-catalog-v1,CREATE_DRAFT,,,,,whole,whole,adjective,A2,descriptions-qualities,整個,,,,,,,,,,TRUE,健康,圓的,淺的,平的,深的,滿的,TRUE,usual,lucky,dead,formal,famous,free,,,,
word-catalog-v1,CREATE_DRAFT,,,,,paint,paint,noun,A2,descriptions-qualities,油漆,,,,,,,,,,TRUE,健康,中心,表面,形狀,亮度,輕盈,TRUE,shape,centre,cross,cream,star,line,,,,
word-catalog-v1,CREATE_DRAFT,,,,,computer,computer,noun,A2,technology,電腦,,,,,,,,,,TRUE,網頁,電郵,文件,圖像,鍵盤,影片,TRUE,keyboard,web page,document,comment,message,Internet,,,,
word-catalog-v1,CREATE_DRAFT,,,,,information,information,noun,A2,technology,資訊,,,,,,,,,,TRUE,圖像,新聞,網站,網頁,帖文,螢幕,TRUE,calculator,password,computer,Internet,web page,message,,,,
word-catalog-v1,CREATE_DRAFT,,,,,chat,chat,noun,A2,technology,聊天,,,,,,,,,,TRUE,消息,網頁,電腦,電郵,資訊,影片,TRUE,file,post,email,video,DVD,news,,,,
word-catalog-v1,CREATE_DRAFT,,,,,laptop,laptop,noun,A2,technology,手提電腦,,,,,,,,,,TRUE,用戶名稱,DVD,打印機,電腦顯示器,消息,新聞,TRUE,screen,printer,image,email,mouse,document,,,,
word-catalog-v1,CREATE_DRAFT,,,,,monitor,monitor,noun,A2,technology,電腦顯示器,顯示器,,,,The computer monitor is on the desk.,電腦顯示器放在書桌上。,,,,TRUE,用戶名稱,手提電腦,互聯網,計算器,DVD,影片,TRUE,website,computer,username,message,comment,password,,,,
word-catalog-v1,CREATE_DRAFT,,,,,screen,screen,noun,A2,technology,螢幕,,,,,The message appeared on the phone screen.,訊息顯示在手機螢幕上。,,,,TRUE,圖像,資訊,鍵盤,滑鼠,電腦,網頁,TRUE,laptop,printer,mouse,computer,comment,file,,,,
word-catalog-v1,CREATE_DRAFT,,,,,keyboard,keyboard,noun,A2,technology,鍵盤,,,,,,,,,,TRUE,電腦,網站,滑鼠,帖文,圖像,新聞,TRUE,web page,computer,username,password,monitor,website,,,,
word-catalog-v1,CREATE_DRAFT,,,,,mouse,mouse,noun,A2,technology,滑鼠,,,,,,,,,,TRUE,螢幕,電郵,資訊,評論,帖文,圖像,TRUE,email,laptop,file,video,image,screen,,,,
word-catalog-v1,CREATE_DRAFT,,,,,printer,printer,noun,A2,technology,打印機,,,,,,,,,,TRUE,互聯網,DVD,消息,鍵盤,密碼,聊天,TRUE,message,comment,website,computer,password,monitor,,,,
word-catalog-v1,CREATE_DRAFT,,,,,DVD,DVD,noun,A2,technology,DVD,,,,,,,,,,TRUE,打印機,計算器,滑鼠,互聯網,文件,聊天,TRUE,chat,file,news,post,email,mouse,,,,
word-catalog-v1,CREATE_DRAFT,,,,,calculator,calculator,noun,A2,technology,計算器,,,,,,,,,,TRUE,DVD,互聯網,打印機,資訊,文件,圖像,TRUE,information,web page,username,password,document,website,,,,
word-catalog-v1,CREATE_DRAFT,,,,,username,username,noun,A2,technology,用戶名稱,,,,,,,,,,TRUE,手提電腦,打印機,電腦顯示器,網頁,文件,互聯網,TRUE,computer,web page,document,comment,message,Internet,,,,
word-catalog-v1,CREATE_DRAFT,,,,,password,password,noun,A2,technology,密碼,,,,,,,,,,TRUE,鍵盤,網站,新聞,滑鼠,帖文,螢幕,TRUE,keyboard,web page,computer,username,document,Internet,,,,
word-catalog-v1,CREATE_DRAFT,,,,,Internet,Internet,noun,A2,technology,互聯網,,,,,,,,,,TRUE,DVD,計算器,打印機,影片,螢幕,網站,TRUE,password,web page,keyboard,computer,printer,username,,,,
word-catalog-v1,CREATE_DRAFT,,,,,website,website,noun,A2,technology,網站,,,,,,,,,,TRUE,資訊,圖像,聊天,鍵盤,帖文,密碼,TRUE,message,monitor,printer,Internet,laptop,password,,,,
word-catalog-v1,CREATE_DRAFT,,,,,web page,web page,noun,A2,technology,網頁,,,,,,,,,,TRUE,滑鼠,網站,消息,影片,螢幕,評論,TRUE,computer,document,comment,keyboard,username,password,,,,
word-catalog-v1,CREATE_DRAFT,,,,,online,online,adjective,A2,technology,網上的,,,,,,,,,,TRUE,數碼的,優秀的,無聊的,當地的,舒適的,危險的,TRUE,digital,silver,skinny,direct,narrow,scared,,,,
word-catalog-v1,CREATE_DRAFT,,,,,email,email,noun,A2,technology,電郵,,,,,I received an email from my teacher.,我收到老師的電郵。,,,,TRUE,滑鼠,螢幕,圖像,評論,影片,帖文,TRUE,mouse,video,image,file,screen,printer,,,,
word-catalog-v1,CREATE_DRAFT,,,,,message,message,noun,A2,technology,消息,,,,,,,,,,TRUE,滑鼠,螢幕,資訊,聊天,影片,密碼,TRUE,website,monitor,laptop,password,printer,document,,,,
word-catalog-v1,CREATE_DRAFT,,,,,video,video,noun,A2,technology,影片,,,,,,,,,,TRUE,電腦,網站,鍵盤,文件,新聞,螢幕,TRUE,mouse,post,image,email,file,chat,,,,
